Name;CenterX;CenterY;Area;Perimeter;MinFeret;CircleAreaDiameter;CirclePerimeterDiameter;SAEDiameter;PerimeterError;AreaError 
Unmyelinated axon;25.800000;-53.900000;1.730439;5.448299;1.248509;1.484716;1.735127;0.930923;0.017550;-0.000878 
Unmyelinated axon;26.300000;-53.300000;0.253036;2.008471;0.548544;0.567749;0.639640;0.378876;0.005138;-0.000128 
Unmyelinated axon;26.300000;-53.600000;0.383635;2.879856;0.505689;0.699076;0.917152;0.370732;0.013646;-0.000195 
Unmyelinated axon;26.200000;-53.900000;0.269361;2.737006;0.439978;0.585777;0.871658;0.265431;0.015265;-0.000137 
Unmyelinated axon;26.200000;-54.200000;0.342823;2.685580;0.714250;0.660846;0.855280;0.356890;0.012357;-0.000174 
Unmyelinated axon;26.500000;-54.100000;0.644833;3.611248;0.739963;0.906335;1.150079;0.502835;0.015831;-0.000327 
Unmyelinated axon;26.900000;-54.000000;0.857057;3.851236;0.885670;1.044889;1.226508;0.650529;0.012688;-0.000435 
Unmyelinated axon;25.600000;-53.100000;1.387616;5.594006;0.845672;1.329535;1.781531;0.685826;0.027591;-0.000704 
Unmyelinated axon;24.500000;-53.900000;0.334660;2.619869;0.539973;0.652931;0.834353;0.358766;0.011694;-0.000170 
Unmyelinated axon;24.100000;-54.200000;0.555047;3.308406;0.642825;0.840872;1.053632;0.474811;0.014004;-0.000282 
Unmyelinated axon;24.300000;-54.000000;0.163249;1.728485;0.428550;0.456027;0.550473;0.271875;0.006447;-0.000083 
Unmyelinated axon;24.500000;-54.200000;0.604021;3.151271;0.817102;0.877185;1.003589;0.569767;0.008976;-0.000306 
Unmyelinated axon;24.000000;-54.500000;0.350985;2.876999;0.482833;0.668667;0.916242;0.335192;0.014708;-0.000178 
Unmyelinated axon;25.100000;-54.400000;0.269361;2.157035;0.505689;0.585777;0.686954;0.365239;0.007073;-0.000137 
Unmyelinated axon;24.900000;-54.600000;0.310173;2.617012;0.457120;0.628590;0.833443;0.328740;0.012662;-0.000157 
Unmyelinated axon;25.200000;-54.600000;0.383635;2.865571;0.531402;0.699076;0.912602;0.373192;0.013438;-0.000195 
Unmyelinated axon;24.700000;-54.800000;0.212224;2.079896;0.368553;0.519951;0.662387;0.286904;0.009212;-0.000108 
Unmyelinated axon;25.000000;-54.900000;0.489747;2.971280;0.645682;0.789862;0.946268;0.476327;0.010748;-0.000248 
Unmyelinated axon;24.800000;-55.500000;0.514234;3.122701;0.608541;0.809367;0.994491;0.470021;0.012428;-0.000261 
Unmyelinated axon;24.500000;-55.500000;0.318336;2.342740;0.514260;0.636807;0.746096;0.397656;0.007645;-0.000161 
Unmyelinated axon;24.300000;-55.800000;0.677483;3.859807;0.714250;0.928997;1.229238;0.487151;0.018603;-0.000344 
Unmyelinated axon;24.600000;-55.800000;1.044793;4.574057;1.094231;1.153667;1.456706;0.644465;0.019786;-0.000530 
Unmyelinated axon;24.800000;-55.700000;0.122437;1.514210;0.331412;0.394931;0.482232;0.231459;0.005896;-0.000062 
Unmyelinated axon;25.000000;-55.900000;0.253036;2.322741;0.388552;0.567749;0.739726;0.303871;0.010847;-0.000128 
Unmyelinated axon;24.700000;-56.100000;1.093768;4.382638;1.091374;1.180396;1.395745;0.726420;0.014960;-0.000555 
Unmyelinated axon;25.000000;-56.200000;0.277523;2.631297;0.368553;0.594586;0.837993;0.287743;0.013958;-0.000141 
Unmyelinated axon;25.500000;-55.600000;0.342823;2.591299;0.497118;0.660846;0.825254;0.374948;0.010859;-0.000174 
Unmyelinated axon;25.700000;-55.500000;0.677483;3.502682;0.748534;0.928997;1.115504;0.558283;0.012791;-0.000344 
Unmyelinated axon;25.900000;-55.900000;0.914194;5.322591;0.711393;1.079156;1.695093;0.459001;0.030525;-0.000464 
Unmyelinated axon;25.700000;-55.900000;0.220386;2.339883;0.357125;0.529855;0.745186;0.257089;0.012382;-0.000112 
Unmyelinated axon;26.100000;-55.600000;0.277523;2.482733;0.462834;0.594586;0.790679;0.309764;0.012079;-0.000141 
Unmyelinated axon;26.400000;-55.900000;0.293848;2.465591;0.442835;0.611824;0.785220;0.334194;0.011123;-0.000149 
Unmyelinated axon;26.200000;-55.900000;0.212224;1.908476;0.505689;0.519951;0.607795;0.325882;0.006155;-0.000108 
Unmyelinated axon;26.400000;-56.400000;0.914194;3.999800;0.968523;1.079156;1.273822;0.665934;0.013541;-0.000464 
Unmyelinated axon;25.600000;-56.200000;0.302011;2.445592;0.485690;0.620264;0.778851;0.349199;0.010415;-0.000153 
Unmyelinated axon;25.300000;-56.400000;0.375473;2.597013;0.537116;0.691599;0.827074;0.418206;0.009324;-0.000190 
Unmyelinated axon;25.300000;-56.600000;0.889707;3.865521;0.942810;1.064605;1.231058;0.679193;0.011748;-0.000451 
Unmyelinated axon;27.500000;-56.000000;0.865220;3.902662;0.914240;1.049853;1.242886;0.644859;0.013397;-0.000439 
Unmyelinated axon;27.800000;-55.900000;0.138762;1.579921;0.371410;0.420436;0.503160;0.253953;0.005690;-0.000070 
Unmyelinated axon;19.600000;-50.300000;1.093768;4.382638;0.799960;1.180396;1.395745;0.726420;0.014960;-0.000555 
Unmyelinated axon;18.800000;-51.500000;1.665140;5.142600;1.219939;1.456433;1.637771;0.975230;0.012968;-0.000845 
Unmyelinated axon;19.400000;-51.800000;0.236711;2.077039;0.471405;0.549129;0.661477;0.328410;0.007683;-0.000120 
Unmyelinated axon;18.200000;-52.000000;0.187736;1.759912;0.428550;0.489034;0.560482;0.316702;0.005069;-0.000095 
Unmyelinated axon;18.200000;-52.300000;0.644833;3.234124;0.842815;0.906335;1.029976;0.595608;0.008809;-0.000327 
Unmyelinated axon;19.000000;-52.500000;0.269361;2.248459;0.485690;0.585777;0.716070;0.342743;0.008790;-0.000137 
Unmyelinated axon;18.500000;-52.800000;0.097949;1.245652;0.314270;0.353237;0.396704;0.237084;0.003110;-0.000050 
